               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12566,            0.061214,             0.11206,          0.00025221,          0.00024814,          0.00012816,          1.2816e-05,             0.12003,            0.038359,             0.10936,              0.0919,              0.0009,              0.0009
                   1,             0.11898,            0.065216,             0.10732,           0.0086238,              0.0245,           0.0059237,           0.0016866,             0.11199,            0.042449,             0.10323,            0.082712,           0.0017119,           0.0017119
                   2,             0.11143,            0.070098,             0.10141,            0.012856,            0.065582,            0.011081,           0.0025062,             0.10573,            0.043316,            0.094643,            0.073326,           0.0023258,           0.0023258
                   3,             0.10447,            0.070614,             0.09225,             0.17254,            0.065728,            0.016881,           0.0042277,            0.099373,            0.041344,            0.083895,            0.063742,           0.0027417,           0.0027417
                   4,             0.09853,            0.068017,            0.082758,             0.40565,            0.028078,            0.012512,           0.0029085,            0.098022,            0.052084,              0.0774,             0.05396,           0.0029596,           0.0029596
                   5,            0.091787,            0.064425,            0.076268,             0.32803,            0.071377,            0.024434,           0.0070846,            0.094888,            0.055449,            0.072451,             0.04398,           0.0029795,           0.0029795
                   6,            0.088599,            0.065289,            0.072651,              0.4963,            0.070203,            0.035389,            0.010446,            0.088308,            0.054714,            0.069275,            0.033801,           0.0028014,           0.0028014
                   7,             0.08502,            0.065611,            0.067791,             0.57271,            0.061297,            0.037918,            0.010797,             0.08791,            0.050208,            0.066886,            0.023425,           0.0024253,           0.0024253
                   8,             0.08121,            0.066337,            0.066906,             0.10457,             0.20605,             0.11474,            0.023181,            0.081794,            0.046253,            0.064621,            0.012851,           0.0018512,           0.0018512
                   9,            0.078627,            0.066111,            0.066422,             0.10997,             0.20416,             0.14014,            0.047326,            0.073751,            0.043004,            0.062952,           0.0020791,           0.0010791,           0.0010791
